YEAR,NEIGHBORHOOD_CLUSTER,OFFENSE,SHIFT,NUMBER_OF_CRIMES
2008,Cluster 24,ARSON,DAY,1
2008,Cluster 24,ARSON,MIDNIGHT,1
2008,Cluster 24,ASSAULT W/DANGEROUS WEAPON,EVENING,9
2008,Cluster 24,ASSAULT W/DANGEROUS WEAPON,DAY,5
2008,Cluster 24,ASSAULT W/DANGEROUS WEAPON,MIDNIGHT,2
2008,Cluster 24,BURGLARY,DAY,9
2008,Cluster 24,BURGLARY,MIDNIGHT,9
2008,Cluster 24,BURGLARY,EVENING,8
2008,Cluster 24,HOMICIDE,MIDNIGHT,1
2008,Cluster 24,MOTOR VEHICLE THEFT,DAY,61
2008,Cluster 24,MOTOR VEHICLE THEFT,EVENING,30
2008,Cluster 24,MOTOR VEHICLE THEFT,MIDNIGHT,9
2008,Cluster 24,ROBBERY,EVENING,14
2008,Cluster 24,ROBBERY,DAY,10
2008,Cluster 24,ROBBERY,MIDNIGHT,9
2008,Cluster 24,SEX ABUSE,MIDNIGHT,2
2008,Cluster 24,SEX ABUSE,DAY,1
2008,Cluster 24,THEFT/OTHER,DAY,76
2008,Cluster 24,THEFT/OTHER,EVENING,62
2008,Cluster 24,THEFT/OTHER,MIDNIGHT,19
2008,Cluster 25,ARSON,EVENING,1
2008,Cluster 25,ASSAULT W/DANGEROUS WEAPON,EVENING,65
2008,Cluster 25,ASSAULT W/DANGEROUS WEAPON,MIDNIGHT,50
2008,Cluster 25,ASSAULT W/DANGEROUS WEAPON,DAY,37
2008,Cluster 25,BURGLARY,EVENING,98
2008,Cluster 25,BURGLARY,DAY,86
2008,Cluster 25,BURGLARY,MIDNIGHT,38
2008,Cluster 25,HOMICIDE,MIDNIGHT,4
2008,Cluster 25,MOTOR VEHICLE THEFT,DAY,119
2008,Cluster 25,MOTOR VEHICLE THEFT,EVENING,109
2008,Cluster 25,MOTOR VEHICLE THEFT,MIDNIGHT,61
2008,Cluster 25,ROBBERY,EVENING,107
2008,Cluster 25,ROBBERY,MIDNIGHT,82
2008,Cluster 25,ROBBERY,DAY,45
2008,Cluster 25,SEX ABUSE,DAY,2
2008,Cluster 25,SEX ABUSE,EVENING,2
2008,Cluster 25,SEX ABUSE,MIDNIGHT,1
2008,Cluster 25,THEFT/OTHER,DAY,448
2008,Cluster 25,THEFT/OTHER,EVENING,343
2008,Cluster 25,THEFT/OTHER,MIDNIGHT,144
2008,Cluster 26,ARSON,MIDNIGHT,1
2008,Cluster 26,ASSAULT W/DANGEROUS WEAPON,EVENING,39
2008,Cluster 26,ASSAULT W/DANGEROUS WEAPON,MIDNIGHT,28
2008,Cluster 26,ASSAULT W/DANGEROUS WEAPON,DAY,24
2008,Cluster 26,BURGLARY,EVENING,93
2008,Cluster 26,BURGLARY,DAY,83
2008,Cluster 26,BURGLARY,MIDNIGHT,30
2008,Cluster 26,HOMICIDE,MIDNIGHT,1
2008,Cluster 26,MOTOR VEHICLE THEFT,DAY,100
2008,Cluster 26,MOTOR VEHICLE THEFT,EVENING,84
2008,Cluster 26,MOTOR VEHICLE THEFT,MIDNIGHT,38
2008,Cluster 26,ROBBERY,EVENING,85
2008,Cluster 26,ROBBERY,MIDNIGHT,53
2008,Cluster 26,ROBBERY,DAY,30
2008,Cluster 26,SEX ABUSE,MIDNIGHT,3
2008,Cluster 26,SEX ABUSE,DAY,2
2008,Cluster 26,THEFT/OTHER,DAY,467
2008,Cluster 26,THEFT/OTHER,EVENING,376
2008,Cluster 26,THEFT/OTHER,MIDNIGHT,70
2008,Cluster 27,ASSAULT W/DANGEROUS WEAPON,MIDNIGHT,4
2008,Cluster 27,ASSAULT W/DANGEROUS WEAPON,EVENING,3
2008,Cluster 27,BURGLARY,DAY,7
2008,Cluster 27,BURGLARY,EVENING,3
2008,Cluster 27,BURGLARY,MIDNIGHT,2
2008,Cluster 27,MOTOR VEHICLE THEFT,EVENING,9
2008,Cluster 27,MOTOR VEHICLE THEFT,DAY,7
2008,Cluster 27,MOTOR VEHICLE THEFT,MIDNIGHT,2
2008,Cluster 27,ROBBERY,DAY,5
2008,Cluster 27,ROBBERY,MIDNIGHT,4
2008,Cluster 27,ROBBERY,EVENING,2
2008,Cluster 27,THEFT/OTHER,DAY,50
2008,Cluster 27,THEFT/OTHER,EVENING,37
2008,Cluster 27,THEFT/OTHER,MIDNIGHT,5
2008,Cluster 28,ASSAULT W/DANGEROUS WEAPON,EVENING,33
2008,Cluster 28,ASSAULT W/DANGEROUS WEAPON,MIDNIGHT,22
