,Year,Neighborhood Cluster,Offense,Neighborhoods,Median Price,Number of Crimes
168,2008,Cluster 24,Homicide,"Woodridge, Fort Lincoln, Gateway",457450,1
169,2008,Cluster 24,Motor Vehicle Theft,"Woodridge, Fort Lincoln, Gateway",457450,100
170,2008,Cluster 24,Robbery,"Woodridge, Fort Lincoln, Gateway",457450,33
171,2008,Cluster 24,Sex Abuse,"Woodridge, Fort Lincoln, Gateway",457450,3
172,2008,Cluster 24,Theft/Other,"Woodridge, Fort Lincoln, Gateway",457450,157
173,2008,Cluster 25,Arson,"Union Station, Stanton Park, Kingman Park",465000,1
174,2008,Cluster 25,Assault w/Dangerous Weapon,"Union Station, Stanton Park, Kingman Park",465000,152
175,2008,Cluster 25,Burglary,"Union Station, Stanton Park, Kingman Park",465000,222
176,2008,Cluster 25,Homicide,"Union Station, Stanton Park, Kingman Park",465000,4
177,2008,Cluster 25,Motor Vehicle Theft,"Union Station, Stanton Park, Kingman Park",465000,289
178,2008,Cluster 25,Robbery,"Union Station, Stanton Park, Kingman Park",465000,234
179,2008,Cluster 25,Sex Abuse,"Union Station, Stanton Park, Kingman Park",465000,5
180,2008,Cluster 25,Theft/Other,"Union Station, Stanton Park, Kingman Park",465000,935
181,2008,Cluster 26,Arson,"Capitol Hill, Lincoln Park",549000,1
182,2008,Cluster 26,Assault w/Dangerous Weapon,"Capitol Hill, Lincoln Park",549000,91
183,2008,Cluster 26,Burglary,"Capitol Hill, Lincoln Park",549000,206
184,2008,Cluster 26,Homicide,"Capitol Hill, Lincoln Park",549000,1
185,2008,Cluster 26,Motor Vehicle Theft,"Capitol Hill, Lincoln Park",549000,222
186,2008,Cluster 26,Robbery,"Capitol Hill, Lincoln Park",549000,168
187,2008,Cluster 26,Sex Abuse,"Capitol Hill, Lincoln Park",549000,5
188,2008,Cluster 26,Theft/Other,"Capitol Hill, Lincoln Park",549000,913
189,2008,Cluster 27,Assault w/Dangerous Weapon,"Near Southeast, Navy Yard",355000,7
190,2008,Cluster 27,Burglary,"Near Southeast, Navy Yard",355000,12
191,2008,Cluster 27,Motor Vehicle Theft,"Near Southeast, Navy Yard",355000,18
192,2008,Cluster 27,Robbery,"Near Southeast, Navy Yard",355000,11
193,2008,Cluster 27,Theft/Other,"Near Southeast, Navy Yard",355000,92
194,2008,Cluster 28,Assault w/Dangerous Weapon,Historic Anacostia,260000,72
195,2008,Cluster 28,Burglary,Historic Anacostia,260000,45
196,2008,Cluster 28,Homicide,Historic Anacostia,260000,4
197,2008,Cluster 28,Motor Vehicle Theft,Historic Anacostia,260000,78
198,2008,Cluster 28,Robbery,Historic Anacostia,260000,73
199,2008,Cluster 28,Theft/Other,Historic Anacostia,260000,113
